input_id,experiment_id,model_version,step,corruption_level,predicted_class,actual_class,correct,confidence,proba_class0,proba_class1
doc_00947,corruption_sequence_v1,tfidf_logreg_v1,0,0.0,1,1,True,0.719348323777944,0.280651676222056,0.719348323777944
doc_00947,corruption_sequence_v1,tfidf_logreg_v1,1,0.1,1,1,True,0.7598577426546966,0.24014225734530337,0.7598577426546966
doc_00947,corruption_sequence_v1,tfidf_logreg_v1,2,0.2,1,1,True,0.7159600643832922,0.2840399356167078,0.7159600643832922
doc_00947,corruption_sequence_v1,tfidf_logreg_v1,3,0.3,1,1,True,0.7794361060355068,0.22056389396449316,0.7794361060355068
doc_00947,corruption_sequence_v1,tfidf_logreg_v1,4,0.4,1,1,True,0.7344941942241091,0.2655058057758909,0.7344941942241091
doc_00947,corruption_sequence_v1,tfidf_logreg_v1,5,0.5,1,1,True,0.6502463778199943,0.3497536221800057,0.6502463778199943
doc_00379,corruption_sequence_v1,tfidf_logreg_v1,0,0.0,1,1,True,0.6512630241838301,0.3487369758161699,0.6512630241838301
doc_00379,corruption_sequence_v1,tfidf_logreg_v1,1,0.1,1,1,True,0.6223756613443574,0.3776243386556426,0.6223756613443574
doc_00379,corruption_sequence_v1,tfidf_logreg_v1,2,0.2,1,1,True,0.6394776906621263,0.36052230933787366,0.6394776906621263
doc_00379,corruption_sequence_v1,tfidf_logreg_v1,3,0.3,1,1,True,0.5542230207739759,0.4457769792260241,0.5542230207739759
doc_00379,corruption_sequence_v1,tfidf_logreg_v1,4,0.4,1,1,True,0.660040219646451,0.339959780353549,0.660040219646451
doc_00379,corruption_sequence_v1,tfidf_logreg_v1,5,0.5,1,1,True,0.6133815625503427,0.3866184374496573,0.6133815625503427
doc_00862,corruption_sequence_v1,tfidf_logreg_v1,0,0.0,1,0,False,0.6549619512574901,0.3450380487425099,0.6549619512574901
doc_00862,corruption_sequence_v1,tfidf_logreg_v1,1,0.1,1,0,False,0.6341140263683486,0.36588597363165143,0.6341140263683486
doc_00862,corruption_sequence_v1,tfidf_logreg_v1,2,0.2,1,0,False,0.6025647026996759,0.3974352973003241,0.6025647026996759
doc_00862,corruption_sequence_v1,tfidf_logreg_v1,3,0.3,1,0,False,0.6513284129139659,0.3486715870860341,0.6513284129139659
doc_00862,corruption_sequence_v1,tfidf_logreg_v1,4,0.4,1,0,False,0.60597211408342,0.39402788591658,0.60597211408342
doc_00862,corruption_sequence_v1,tfidf_logreg_v1,5,0.5,1,0,False,0.5946951414826503,0.40530485851734965,0.5946951414826503
doc_00666,corruption_sequence_v1,tfidf_logreg_v1,0,0.0,1,0,False,0.5739582840120292,0.4260417159879708,0.5739582840120292
doc_00666,corruption_sequence_v1,tfidf_logreg_v1,1,0.1,1,0,False,0.5872146078831907,0.4127853921168093,0.5872146078831907
doc_00666,corruption_sequence_v1,tfidf_logreg_v1,2,0.2,1,0,False,0.6031815272538235,0.39681847274617654,0.6031815272538235
doc_00666,corruption_sequence_v1,tfidf_logreg_v1,3,0.3,1,0,False,0.5759656451262937,0.42403435487370633,0.5759656451262937
doc_00666,corruption_sequence_v1,tfidf_logreg_v1,4,0.4,1,0,False,0.5327337010421535,0.46726629895784655,0.5327337010421535
doc_00666,corruption_sequence_v1,tfidf_logreg_v1,5,0.5,1,0,False,0.600116323688285,0.39988367631171495,0.600116323688285
doc_00906,corruption_sequence_v1,tfidf_logreg_v1,0,0.0,1,1,True,0.8032876236092584,0.19671237639074157,0.8032876236092584
doc_00906,corruption_sequence_v1,tfidf_logreg_v1,1,0.1,1,1,True,0.7822476907940215,0.21775230920597854,0.7822476907940215
doc_00906,corruption_sequence_v1,tfidf_logreg_v1,2,0.2,1,1,True,0.7522739906405383,0.24772600935946165,0.7522739906405383
doc_00906,corruption_sequence_v1,tfidf_logreg_v1,3,0.3,1,1,True,0.7007657893772893,0.2992342106227107,0.7007657893772893
doc_00906,corruption_sequence_v1,tfidf_logreg_v1,4,0.4,1,1,True,0.7499027168152932,0.2500972831847068,0.7499027168152932
