input_id,step,corruption_level,confidence,prev_confidence,confidence_diff,confidence_pct_change,moving_avg_confidence,moving_std_confidence,rolling_std_confidence,confidence_range_so_far,rate_of_change,consecutive_decreases,prediction_margin,predicted_class,actual_class,correct,unreliable
doc_00000,0,0.0,0.7819858568456401,0.7819858568456401,0.0,0.0,0.7819858568456401,0.0,0.0,0.0,0.0,0,0.5639717136912803,1,1,True,0
doc_00000,1,0.1,0.7737080971086961,0.7819858568456401,-0.008277759736944001,-0.010585561956752866,0.7778469769771681,0.004138879868472001,0.004138879868472001,0.008277759736944001,-0.008277759736944001,1,0.5474161942173923,1,1,True,0
doc_00000,2,0.2,0.7711707733396127,0.7737080971086961,-0.002537323769083444,-0.0032794328747046604,0.7756215757646497,0.00461790415922483,0.00461790415922483,0.010815083506027445,-0.001268661884541722,2,0.5423415466792254,1,1,True,0
doc_00000,3,0.3,0.7527873174380706,0.7711707733396127,-0.01838345590154211,-0.023838372170059272,0.7699130111830049,0.010665688344699878,0.009321829129163909,0.029198539407569557,-0.006127818633847371,3,0.5055746348761412,1,1,True,0
doc_00000,4,0.4,0.7394568442533596,0.7527873174380706,-0.013330473184711034,-0.01770815325380092,0.7638217777970759,0.015473138755289472,0.01300182151469613,0.04252901259228059,-0.0033326182961777584,4,0.47891368850671917,1,1,True,0
doc_00000,5,0.5,0.675961604968976,0.7394568442533596,-0.06349523928438361,-0.08586740359201853,0.7491784156590593,0.035660276115623835,0.033518712888795314,0.1060242518766642,-0.012699047856876722,5,0.35192320993795195,1,1,True,0
doc_00003,0,0.0,0.8244632080783949,0.8244632080783949,0.0,0.0,0.8244632080783949,0.0,0.0,0.0,0.0,0,0.6489264161567898,1,1,True,0
doc_00003,1,0.1,0.8248640976627585,0.8244632080783949,0.0004008895843635729,0.0004862431463714921,0.8246636528705766,0.00020044479218178646,0.00020044479218178646,0.0004008895843635729,0.0004008895843635729,0,0.649728195325517,1,1,True,0
doc_00003,2,0.2,0.8083631906724301,0.8248640976627585,-0.016500906990328357,-0.020004394708271894,0.8192301654711945,0.007685854282270684,0.007685854282270684,0.016500906990328357,-0.008250453495164178,1,0.6167263813448604,1,1,True,0
doc_00003,3,0.3,0.7283881738228568,0.8083631906724301,-0.07997501684957331,-0.09893451083917708,0.7965196675591101,0.039894917135903374,0.04213191866342812,0.09647592383990167,-0.02665833894985777,2,0.4567763476457136,1,1,True,0
doc_00003,4,0.4,0.7757544424513021,0.7283881738228568,0.047366268628445285,0.06502888203119661,0.7923666225375484,0.0366370667825489,0.0328344283817738,0.09647592383990167,0.011841567157111321,0,0.5515088849026042,1,1,True,0
doc_00003,5,0.5,0.7408602667184137,0.7757544424513021,-0.034894175732888444,-0.0449809550849964,0.7837822299010261,0.03856191389675435,0.02004639065616202,0.09647592383990167,-0.006978835146577688,1,0.48172053343682736,1,1,True,0
doc_00004,0,0.0,0.7494531734100477,0.7494531734100477,0.0,0.0,0.7494531734100477,0.0,0.0,0.0,0.0,0,0.4989063468200954,1,1,True,0
doc_00004,1,0.1,0.7705221341399404,0.7494531734100477,0.021068960729892727,0.02811244448272592,0.7599876537749941,0.010534480364946364,0.010534480364946364,0.021068960729892727,0.021068960729892727,0,0.541044268279881,1,1,True,0
doc_00004,2,0.2,0.7485434361360754,0.7705221341399404,-0.021978698003864983,-0.02852442133722438,0.7561729145620212,0.010153225508786824,0.010153225508786824,0.021978698003864983,-0.010989349001932491,1,0.4970868722721509,1,1,True,0
doc_00004,3,0.3,0.7441694956764576,0.7485434361360754,-0.004373940459617809,-0.005843268738278915,0.7531720598406303,0.010214273265920172,0.011530905693812668,0.02635263846348279,-0.0014579801532059362,2,0.48833899135291525,1,1,True,0
doc_00004,4,0.4,0.7580172629141693,0.7441694956764576,0.013847767237711639,0.01860835107884109,0.7541411004553381,0.009339232384544581,0.005779709781597546,0.02635263846348279,0.0034619418094279097,0,0.5160345258283385,1,1,True,0
doc_00004,5,0.5,0.7122627749357343,0.7580172629141693,-0.045754487978434955,-0.06036074667024537,0.7471613795354042,0.01778389454566287,0.019158034740503618,0.05825935920420611,-0.009150897595686991,1,0.4245255498714686,1,1,True,0
doc_00005,0,0.0,0.7324161204300507,0.7324161204300507,0.0,0.0,0.7324161204300507,0.0,0.0,0.0,0.0,0,0.4648322408601014,1,1,True,0
doc_00005,1,0.1,0.6944254431414463,0.7324161204300507,-0.03799067728860439,-0.05187034559847961,0.7134207817857485,0.018995338644302195,0.018995338644302195,0.03799067728860439,-0.03799067728860439,1,0.38885088628289255,1,1,True,0
doc_00005,2,0.2,0.7245605223180261,0.6944254431414463,0.03013507917657987,0.04339570140208948,0.717134028629841,0.016374522824339245,0.016374522824339245,0.03799067728860439,0.015067539588289935,0,0.44912104463605235,1,1,True,0
doc_00005,3,0.3,0.689582396534421,0.7245605223180261,-0.03497812578360515,-0.048274953859896406,0.710246120605986,0.018531691210703458,0.015474162625882252,0.04283372389562967,-0.011659375261201718,1,0.379164793068842,1,1,True,0
